ID,Application creation month,NUMBER CREDITS IN KBI 3,NUMBER CREDITS IN KBI 6,ADMINISTRATIVE VIOLATION,CRIMINAL VIOLATION,NUMBER CREDITS IN KBI,NUMBER REQUESTS IN KBI,NUMBER REQUESTS IN KBI ALL,CLOSED CREDITS IN KBI,CLOSED CREDITS IN KBI YEAR,OVERDUES IN KBI,DURATION LAST OVERDUE,COUNTGUARANTEE,COUNTCLOSEGUARANTEE,COUNTOPENGUARANTEE,DURATIONGREATESTDELAYLASTYEAR,DURATIONGREATESTDELAYLASTALL,LATECOUNTSUMM 1 7,LATECOUNTSUMM 8 30,LATECOUNTSUMM 31 90,LATECOUNTSUMM 91 180,LATECOUNTSUMM 181,LATECOUNTPRC 1 7,LATECOUNTPRC 8 30,LATECOUNTPRC 31 90,LATECOUNTPRC 91 180,LATECOUNTPRC 181,LATECOUNTPAY 1 7,LATECOUNTPAY 8 30,LATECOUNTPAY 31 90,LATECOUNTPAY 91 180,LATECOUNTPAY 181,SEX,BIRTH CNTR,MARITAL STATUS,CHILDREN,MINORS,HOMEPHONE,WORKPHONE,MOBILE 1,REG TOWNTYPE,HOME TOWNTYPE,EMPLOYMENT,EDUCATION,PROFESSION,REAL ESTATE,VEHICLE,PERSONNEL PHONE,ACCOUNTING PHONE,Age,Length work,Matching address of registration and residence,Loans total,Credit load,Marker
28,autumn,0,0,0,0,0,0,3,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Higher education,p,yes,yes,no,no,39,2.8,yes,3,0.05,good
29,autumn,0,0,4,0,0,0,4,4,2,3,5,0,0,0,5,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,Rural village,Recruitment,Secondary special education,i,no,yes,no,no,24,3.2,no,4,0.05,good
30,autumn,0,0,2,0,1,1,6,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,3,3,yes,yes,yes,City,City,Owner of the enterprise,Higher education,k,no,yes,yes,yes,29,5.3,no,1,0.18,good
31,autumn,0,1,1,0,3,0,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,UA,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,i,yes,yes,no,no,43,13.0,yes,7,0.35,good
32,summer,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,no,39,4.6,yes,5,0.05,good
33,spring,0,0,0,2,0,0,3,3,0,0,6,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Male,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,q,no,yes,no,no,29,5.1,no,3,0.06,good
34,autumn,0,0,1,0,0,1,2,1,0,0,44,0,0,0,0,44,4,1,1,0,0,4,1,1,0,0,0,0,0,0,0,Feminine,BY,Single,1,1,yes,yes,yes,City,City,Recruitment,Higher education,k,no,no,no,no,34,1.3,no,1,0.02,bad
35,autumn,0,1,0,0,1,1,5,4,1,4,1,2,1,1,2,9,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary education,k,yes,no,no,no,45,15.6,yes,5,0.08,good
36,winter,0,0,0,0,0,0,2,7,0,0,5,2,1,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,no,yes,yes,49,0.5,yes,7,0.06,good
37,autumn,0,0,0,0,1,6,8,2,0,10,15,0,0,0,34,50,6,16,2,0,0,6,15,3,0,0,3,9,1,0,0,Feminine,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,k,yes,no,no,no,31,5.3,yes,3,0.10,bad
38,autumn,0,0,0,0,3,1,6,3,0,2,5,0,0,0,0,35,9,2,1,0,0,7,1,1,0,0,4,1,2,0,0,Male,KZ,Married,2,1,yes,yes,yes,City,City,Pensioner,no information,b,yes,no,no,no,59,29.0,yes,6,0.47,good
39,summer,0,1,0,0,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,yes,yes,26,4.5,yes,3,0.21,good
40,spring,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,Agrotown,Agrotown,Recruitment,Higher education,d,yes,yes,yes,yes,50,19.3,yes,4,0.05,good
41,autumn,0,0,0,0,3,0,7,3,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Widow,3,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,no,63,15.8,yes,6,0.58,good
42,winter,0,0,0,0,2,1,7,4,1,1,25,6,0,6,25,25,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Higher education,n,no,yes,yes,yes,52,13.9,yes,6,0.22,good
43,winter,0,0,0,0,0,1,5,5,0,0,3,1,1,0,0,9,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,Feminine,BY,Married,3,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,l,yes,no,no,no,55,6.7,yes,5,0.21,good
44,winter,0,1,0,0,4,1,11,4,3,1,14,2,2,0,14,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,no,yes,no,no,40,21.5,yes,8,0.12,good
45,winter,0,0,1,0,2,2,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,h,no,yes,yes,no,39,7.5,yes,9,0.21,good
46,winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,no,no,no,no,44,10.2,yes,0,0.05,good
47,summer,0,0,0,0,3,1,5,1,0,0,6,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Feminine,BY,Single,1,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,no,no,yes,54,2.5,yes,4,0.07,good
48,summer,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,yes,23,2.9,no,2,0.20,good
49,autumn,0,0,0,0,2,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Higher education,g,no,yes,no,yes,43,17.0,yes,9,0.05,good
50,summer,0,0,0,0,3,1,8,5,1,2,1,0,0,0,5,5,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,Feminine,BY,Married,1,1,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,g,no,yes,no,no,47,2.0,yes,8,0.21,bad
51,winter,0,3,1,1,3,1,36,21,2,1,9,0,0,0,9,90,3,3,1,0,0,3,3,0,1,0,0,0,0,0,0,Feminine,BY,Separation,1,0,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,no,no,43,1.8,yes,24,0.15,good
52,autumn,2,2,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,j,no,no,no,no,23,0.3,yes,4,0.27,good
53,winter,0,1,0,0,1,0,3,2,1,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,no,yes,City,City,Pensioner,no information,b,yes,yes,no,no,55,0.3,yes,3,0.04,good
54,spring,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,RU,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,yes,yes,41,0.8,yes,1,0.08,good
55,winter,1,2,0,0,4,0,15,8,0,5,2,0,0,0,27,94,14,5,1,1,0,12,7,1,1,0,11,7,1,0,0,Male,BY,Separation,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,no,36,5.0,yes,12,0.27,good
56,autumn,0,0,0,0,1,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Widow,1,1,yes,yes,yes,City,City,Recruitment,Higher education,s,yes,no,no,no,35,9.0,no,4,0.12,good
57,autumn,0,0,2,0,2,0,3,2,0,0,28,0,0,0,0,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Owner of the enterprise,Secondary special education,k,no,yes,yes,yes,44,16.0,yes,4,0.35,good
58,spring,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,i,no,no,no,no,22,0.5,yes,0,0.04,good
59,spring,0,1,0,0,1,0,6,5,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Male,BY,Married,2,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary special education,a,yes,yes,yes,yes,44,16.0,yes,6,0.24,good
60,autumn,0,1,0,0,3,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,no,no,no,29,2.5,yes,3,0.31,good
61,winter,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,a,no,yes,no,no,45,2.9,no,1,0.07,good
62,autumn,0,2,0,0,2,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,RU,Married,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,29,1.1,yes,3,0.29,good
63,autumn,0,1,0,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,25,2.5,yes,4,0.28,good
64,autumn,1,1,2,0,2,1,18,3,2,0,8,8,7,1,0,10,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,Male,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Higher education,a,no,yes,no,no,46,10.0,yes,5,0.23,good
65,autumn,0,0,0,0,0,4,6,1,1,7,3,2,2,0,5,62,30,0,0,0,0,31,1,1,0,0,0,0,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,h,no,no,yes,no,26,0.6,yes,1,0.03,bad
66,autumn,1,2,1,0,2,0,10,6,1,0,10,4,2,2,0,16,2,2,0,0,0,3,2,0,0,0,1,1,0,0,0,Feminine,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Higher education,f,no,yes,no,no,28,8.1,yes,8,0.16,good
67,winter,0,0,0,2,1,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Secondary education,a,yes,no,no,no,45,1.2,yes,7,0.48,good
68,autumn,1,1,0,0,1,2,5,1,1,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,l,yes,no,yes,yes,36,8.0,yes,2,0.09,good
69,autumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,0,yes,yes,yes,Village1,Village1,Recruitment,Secondary technical education,j,no,yes,no,yes,22,0.3,yes,0,0.04,good
70,winter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,1,yes,yes,yes,City,City,Recruitment,Secondary special education,h,no,no,no,no,21,0.7,yes,0,0.44,bad
71,winter,0,0,1,0,2,1,7,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,4,4,yes,yes,yes,City,City,Recruitment,Higher education,g,yes,yes,yes,no,41,8.0,yes,2,0.21,good
72,autumn,0,0,10,0,2,2,12,4,3,9,2,2,2,0,3,3,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,Male,BY,Married,0,0,yes,yes,yes,City,City,Individual entrepreneur,Secondary special education,k,no,yes,no,no,25,2.4,no,6,0.10,bad
73,winter,1,2,0,0,3,1,8,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,d,yes,yes,no,no,31,5.6,yes,5,0.12,good
74,winter,0,0,1,0,1,1,5,2,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary special education,a,yes,no,no,no,56,18.1,yes,3,0.27,good
75,autumn,0,0,0,0,1,0,2,3,0,0,22,0,0,0,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Secondary special education,e,yes,no,yes,yes,51,15.1,yes,4,0.08,good
76,winter,1,1,1,0,2,1,8,3,0,0,14,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,Feminine,BY,Married,1,0,yes,yes,yes,City,City,Recruitment,Higher education,a,no,yes,yes,yes,22,3.3,no,5,0.63,good
77,autumn,0,0,0,0,2,1,5,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Secondary special education,d,no,yes,yes,yes,44,7.8,yes,3,0.30,good
78,spring,0,1,0,0,1,0,4,4,1,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Feminine,BY,Separation,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,36,3.0,yes,5,0.19,good
79,spring,0,0,2,0,2,0,6,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,RU,Separation,1,0,yes,yes,yes,City,City,Recruitment,Higher education,a,yes,yes,no,no,53,3.5,yes,3,0.25,good
80,winter,0,3,1,0,4,1,19,12,0,0,7,2,2,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,3,1,yes,yes,yes,City,City,Individual entrepreneur,Higher education,g,yes,yes,no,yes,40,0.8,yes,16,0.57,good
81,winter,1,1,0,1,2,1,10,6,3,10,14,1,0,1,16,28,8,14,0,0,0,8,14,0,0,0,0,2,0,0,0,Male,BY,Single,0,0,yes,yes,yes,City,City,Recruitment,Secondary special education,d,yes,no,no,no,31,2.2,yes,8,0.38,bad
82,autumn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,City,City,Recruitment,Higher education,k,yes,yes,no,no,40,0.8,yes,0,0.01,good
83,autumn,0,0,0,0,1,0,3,2,0,0,2,1,0,1,0,24,2,0,0,0,0,3,1,0,0,0,5,1,0,0,0,Male,BY,Single,0,0,yes,no,yes,City,City,Recruitment,Secondary education,a,no,no,yes,yes,35,4.5,yes,3,0.12,good
84,autumn,1,3,0,0,3,1,17,13,5,1,5,3,1,2,5,95,8,2,1,1,0,5,2,0,1,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,f,no,no,no,no,29,4.4,no,16,0.35,good
85,autumn,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,1,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,no,no,45,17.1,yes,3,0.29,good
86,winter,0,0,3,0,1,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,KZ,Married,2,2,yes,yes,yes,City,City,Recruitment,Secondary special education,h,yes,yes,no,no,30,0.6,yes,4,0.08,good
87,winter,0,1,0,1,2,1,5,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,d,yes,no,no,no,48,3.8,yes,4,0.11,good
88,winter,0,2,0,2,3,0,4,4,1,1,13,0,0,0,13,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Male,BY,Married,2,2,yes,yes,yes,Village1,Village1,Recruitment,Secondary education,i,yes,yes,no,no,32,4.8,yes,7,0.17,good
89,autumn,0,0,0,0,0,1,3,4,1,1,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,f,yes,yes,no,no,63,8.0,yes,4,0.03,good
90,autumn,0,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,2,0,yes,yes,yes,City,City,Recruitment,Higher education,p,yes,yes,no,no,61,37.0,yes,3,0.08,good
91,summer,0,2,0,0,3,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,0,0,yes,yes,yes,Agrotown,City,Recruitment,Secondary special education,a,no,no,yes,yes,22,2.2,no,7,0.24,good
92,autumn,0,1,0,0,2,0,9,4,1,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,BY,Married,1,1,yes,yes,yes,City,City,Recruitment,Higher education,a,yes,yes,no,no,34,9.5,yes,6,0.10,good
93,winter,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feminine,RU,Single,1,1,yes,yes,yes,City,City,Recruitment,Secondary education,f,no,no,no,no,24,1.1,yes,2,0.35,bad
